Date & time,Total,Quality,Location
00:00:00 01/11/1992,0.0,83,1361P002
00:00:00 02/11/1992,0.0,83,1361P002
00:00:00 03/11/1992,0.0,83,1361P002
00:00:00 04/11/1992,0.0,83,1361P002
00:00:00 05/11/1992,52.5,83,1361P002
00:00:00 06/11/1992,0.5,83,1361P002
00:00:00 07/11/1992,0.0,83,1361P002
00:00:00 08/11/1992,0.0,83,1361P002
00:00:00 09/11/1992,0.0,83,1361P002
00:00:00 10/11/1992,3.0,83,1361P002
00:00:00 11/11/1992,0.0,83,1361P002
00:00:00 12/11/1992,0.0,83,1361P002
00:00:00 13/11/1992,0.0,83,1361P002
00:00:00 14/11/1992,0.0,83,1361P002
00:00:00 15/11/1992,0.0,83,1361P002
00:00:00 16/11/1992,0.0,83,1361P002
00:00:00 17/11/1992,0.0,83,1361P002
00:00:00 18/11/1992,0.0,83,1361P002
00:00:00 19/11/1992,0.0,83,1361P002
00:00:00 20/11/1992,4.5,83,1361P002
00:00:00 21/11/1992,42.5,83,1361P002
00:00:00 22/11/1992,0.0,83,1361P002
00:00:00 23/11/1992,0.0,83,1361P002
00:00:00 24/11/1992,0.0,83,1361P002
00:00:00 25/11/1992,26.5,83,1361P002
00:00:00 26/11/1992,0.5,83,1361P002
00:00:00 27/11/1992,0.0,83,1361P002
00:00:00 28/11/1992,0.0,83,1361P002
00:00:00 29/11/1992,0.5,83,1361P002
00:00:00 30/11/1992,0.0,83,1361P002
00:00:00 01/12/1992,0.0,83,1361P002
00:00:00 02/12/1992,0.0,83,1361P002
00:00:00 03/12/1992,0.0,83,1361P002
00:00:00 04/12/1992,0.0,83,1361P002
00:00:00 05/12/1992,3.0,83,1361P002
00:00:00 06/12/1992,0.5,83,1361P002
00:00:00 07/12/1992,2.5,83,1361P002
00:00:00 08/12/1992,0.0,83,1361P002
00:00:00 09/12/1992,2.0,83,1361P002
00:00:00 10/12/1992,0.0,83,1361P002
00:00:00 11/12/1992,0.0,83,1361P002
00:00:00 12/12/1992,0.5,83,1361P002
00:00:00 13/12/1992,0.5,83,1361P002
00:00:00 14/12/1992,9.5,83,1361P002
00:00:00 15/12/1992,2.5,83,1361P002
00:00:00 16/12/1992,4.0,83,1361P002
00:00:00 17/12/1992,0.5,83,1361P002
00:00:00 18/12/1992,10.5,83,1361P002
00:00:00 19/12/1992,1.5,83,1361P002
00:00:00 20/12/1992,10.5,83,1361P002
00:00:00 21/12/1992,0.0,83,1361P002
00:00:00 22/12/1992,0.0,83,1361P002
00:00:00 23/12/1992,0.0,83,1361P002
00:00:00 24/12/1992,0.0,83,1361P002
00:00:00 25/12/1992,0.0,83,1361P002
00:00:00 26/12/1992,0.0,83,1361P002
00:00:00 27/12/1992,9.5,83,1361P002
00:00:00 28/12/1992,1.0,83,1361P002
00:00:00 29/12/1992,23.0,83,1361P002
00:00:00 30/12/1992,0.0,83,1361P002
00:00:00 31/12/1992,2.0,83,1361P002
00:00:00 01/01/1993,0.5,83,1361P002
00:00:00 02/01/1993,0.0,83,1361P002
00:00:00 03/01/1993,0.0,83,1361P002
00:00:00 04/01/1993,0.0,83,1361P002
00:00:00 05/01/1993,19.5,83,1361P002
00:00:00 06/01/1993,4.0,83,1361P002
00:00:00 07/01/1993,6.0,83,1361P002
00:00:00 08/01/1993,2.0,83,1361P002
00:00:00 09/01/1993,1.5,83,1361P002
00:00:00 10/01/1993,22.5,83,1361P002
00:00:00 11/01/1993,14.0,83,1361P002
00:00:00 12/01/1993,3.5,83,1361P002
00:00:00 13/01/1993,0.0,83,1361P002
00:00:00 14/01/1993,14.5,83,1361P002
00:00:00 15/01/1993,3.0,83,1361P002
00:00:00 16/01/1993,0.0,83,1361P002
00:00:00 17/01/1993,0.0,83,1361P002
00:00:00 18/01/1993,0.0,83,1361P002
00:00:00 19/01/1993,0.0,83,1361P002
00:00:00 20/01/1993,0.0,83,1361P002
00:00:00 21/01/1993,6.0,83,1361P002
00:00:00 22/01/1993,1.0,83,1361P002
00:00:00 23/01/1993,0.0,83,1361P002
00:00:00 24/01/1993,0.0,83,1361P002
00:00:00 25/01/1993,1.0,83,1361P002
00:00:00 26/01/1993,3.0,83,1361P002
00:00:00 27/01/1993,7.0,83,1361P002
00:00:00 28/01/1993,7.0,83,1361P002
00:00:00 29/01/1993,0.0,83,1361P002
00:00:00 30/01/1993,0.0,83,1361P002
00:00:00 31/01/1993,2.5,83,1361P002
00:00:00 01/02/1993,6.0,83,1361P002
00:00:00 02/02/1993,0.0,83,1361P002
00:00:00 03/02/1993,0.0,83,1361P002
00:00:00 04/02/1993,0.0,83,1361P002
00:00:00 05/02/1993,0.0,83,1361P002
00:00:00 06/02/1993,0.0,83,1361P002
00:00:00 07/02/1993,1.5,83,1361P002
00:00:00 08/02/1993,4.0,83,1361P002
00:00:00 09/02/1993,6.0,83,1361P002
00:00:00 10/02/1993,2.0,83,1361P002
00:00:00 11/02/1993,0.0,83,1361P002
00:00:00 12/02/1993,0.0,83,1361P002
00:00:00 13/02/1993,0.0,83,1361P002
00:00:00 14/02/1993,0.0,83,1361P002
00:00:00 15/02/1993,1.0,83,1361P002
00:00:00 16/02/1993,10.0,83,1361P002
00:00:00 17/02/1993,18.5,83,1361P002
00:00:00 18/02/1993,0.5,83,1361P002
00:00:00 19/02/1993,4.0,83,1361P002
00:00:00 20/02/1993,0.0,83,1361P002
00:00:00 21/02/1993,0.0,83,1361P002
00:00:00 22/02/1993,1.5,83,1361P002
00:00:00 23/02/1993,11.0,83,1361P002
00:00:00 24/02/1993,0.0,83,1361P002
00:00:00 25/02/1993,14.0,83,1361P002
00:00:00 26/02/1993,0.5,83,1361P002
00:00:00 27/02/1993,8.5,83,1361P002
00:00:00 28/02/1993,7.5,83,1361P002
00:00:00 01/03/1993,1.0,83,1361P002
00:00:00 02/03/1993,0.0,83,1361P002
00:00:00 03/03/1993,0.0,83,1361P002
00:00:00 04/03/1993,18.0,83,1361P002
00:00:00 05/03/1993,0.5,83,1361P002
00:00:00 06/03/1993,0.0,83,1361P002
00:00:00 07/03/1993,1.0,83,1361P002
00:00:00 08/03/1993,0.0,83,1361P002
00:00:00 09/03/1993,0.0,83,1361P002
00:00:00 10/03/1993,0.0,83,1361P002
00:00:00 11/03/1993,2.5,83,1361P002
00:00:00 12/03/1993,0.0,83,1361P002
00:00:00 13/03/1993,0.0,83,1361P002
00:00:00 14/03/1993,0.0,83,1361P002
00:00:00 15/03/1993,0.5,83,1361P002
00:00:00 16/03/1993,0.5,83,1361P002
00:00:00 17/03/1993,0.0,83,1361P002
00:00:00 18/03/1993,0.0,83,1361P002
00:00:00 19/03/1993,1.0,83,1361P002
00:00:00 20/03/1993,0.0,83,1361P002
00:00:00 21/03/1993,0.0,83,1361P002
00:00:00 22/03/1993,0.0,83,1361P002
00:00:00 23/03/1993,0.0,83,1361P002
